username,name,email,password,gender,marriage,income_prospect,asset_level,income_level,finance_type,product_list
user_34,User 34,user34@example.com,password34,male,single,stable_increase,10m_to_50m,50m_to_70m,spender,"{""deposits"": [], ""savings"": [129]}"
user_35,User 35,user35@example.com,password35,female,single,decreasing,50m_to_100m,100m_to_300m,planner,"{""deposits"": [39], ""savings"": []}"
user_36,User 36,user36@example.com,password36,male,single,unstable,10m_to_50m,30m_to_50m,saver,"{""deposits"": [71, 56, 70, 67], ""savings"": []}"
user_37,User 37,user37@example.com,password37,male,single,unstable,50m_to_100m,100m_to_300m,investor,"{""deposits"": [93, 84], ""savings"": [142, 180, 175]}"
user_38,User 38,user38@example.com,password38,male,married,decreasing,100m_to_500m,below_30m,spender,"{""deposits"": [42, 22], ""savings"": [189, 160, 168]}"
user_39,User 39,user39@example.com,password39,female,married,decreasing,10m_to_50m,above_300m,spender,"{""deposits"": [37, 54], ""savings"": [196, 136, 164]}"
user_40,User 40,user40@example.com,password40,male,married,unstable,500m_to_1b,100m_to_300m,spender,"{""deposits"": [29, 80, 71, 25], ""savings"": [186, 164, 193]}"
user_41,User 41,user41@example.com,password41,female,single,stable_increase,10m_to_50m,70m_to_100m,planner,"{""deposits"": [52, 72, 68, 46], ""savings"": [198, 197, 159, 196]}"
user_42,User 42,user42@example.com,password42,male,single,stable_increase,above_1b,below_30m,investor,"{""deposits"": [65], ""savings"": [125, 166, 190]}"
user_43,User 43,user43@example.com,password43,female,married,unstable,below_10m,70m_to_100m,investor,"{""deposits"": [], ""savings"": [181, 155, 130, 143]}"
user_44,User 44,user44@example.com,password44,male,married,unstable,above_1b,100m_to_300m,investor,"{""deposits"": [33, 2, 36, 89], ""savings"": [130]}"
user_45,User 45,user45@example.com,password45,male,single,decreasing,below_10m,above_300m,spender,"{""deposits"": [85, 10, 45], ""savings"": []}"
user_46,User 46,user46@example.com,password46,female,married,decreasing,above_1b,above_300m,investor,"{""deposits"": [25, 53], ""savings"": []}"
user_47,User 47,user47@example.com,password47,female,married,stable_increase,50m_to_100m,below_30m,planner,"{""deposits"": [87, 36, 7], ""savings"": []}"
user_48,User 48,user48@example.com,password48,male,married,stable_increase,10m_to_50m,below_30m,planner,"{""deposits"": [], ""savings"": [110, 174, 117, 164]}"
user_49,User 49,user49@example.com,password49,male,single,unstable,10m_to_50m,100m_to_300m,investor,"{""deposits"": [], ""savings"": []}"
user_50,User 50,user50@example.com,password50,male,single,decreasing,below_10m,70m_to_100m,planner,"{""deposits"": [], ""savings"": [126, 140, 121]}"
user_51,User 51,user51@example.com,password51,male,single,decreasing,below_10m,70m_to_100m,planner,"{""deposits"": [32, 68, 75], ""savings"": [139, 137, 104]}"
user_52,User 52,user52@example.com,password52,female,single,decreasing,500m_to_1b,30m_to_50m,planner,"{""deposits"": [72, 66, 51], ""savings"": [173, 151, 198]}"
user_53,User 53,user53@example.com,password53,female,married,unstable,10m_to_50m,100m_to_300m,saver,"{""deposits"": [], ""savings"": [113, 137, 172]}"
user_54,User 54,user54@example.com,password54,male,single,unstable,50m_to_100m,50m_to_70m,planner,"{""deposits"": [34, 54, 24, 50], ""savings"": [185, 145]}"
user_55,User 55,user55@example.com,password55,female,single,decreasing,10m_to_50m,30m_to_50m,planner,"{""deposits"": [1, 92, 96], ""savings"": []}"
user_56,User 56,user56@example.com,password56,female,married,unstable,100m_to_500m,below_30m,investor,"{""deposits"": [37, 22, 88], ""savings"": [194, 126]}"
user_57,User 57,user57@example.com,password57,male,married,unstable,above_1b,100m_to_300m,saver,"{""deposits"": [49, 80], ""savings"": [161, 149, 153]}"
user_58,User 58,user58@example.com,password58,male,single,decreasing,50m_to_100m,70m_to_100m,saver,"{""deposits"": [61, 70], ""savings"": []}"
user_59,User 59,user59@example.com,password59,female,married,unstable,50m_to_100m,below_30m,saver,"{""deposits"": [54, 75, 63, 85], ""savings"": [149, 179]}"
user_60,User 60,user60@example.com,password60,male,single,stable_increase,above_1b,below_30m,saver,"{""deposits"": [], ""savings"": [110, 147, 187, 198]}"
user_61,User 61,user61@example.com,password61,male,married,unstable,below_10m,70m_to_100m,investor,"{""deposits"": [86], ""savings"": [123, 112, 164, 145]}"
user_62,User 62,user62@example.com,password62,female,married,decreasing,500m_to_1b,30m_to_50m,saver,"{""deposits"": [], ""savings"": [108, 178, 135, 158]}"
user_63,User 63,user63@example.com,password63,female,single,decreasing,10m_to_50m,100m_to_300m,spender,"{""deposits"": [7, 1, 75], ""savings"": []}"
user_64,User 64,user64@example.com,password64,male,single,stable_increase,10m_to_50m,below_30m,investor,"{""deposits"": [81], ""savings"": [199, 130]}"
user_65,User 65,user65@example.com,password65,male,single,decreasing,50m_to_100m,50m_to_70m,saver,"{""deposits"": [72, 45], ""savings"": [103, 196, 186, 163]}"
user_66,User 66,user66@example.com,password66,female,married,stable_increase,above_1b,above_300m,spender,"{""deposits"": [47, 68, 34], ""savings"": [152]}"
user_67,User 67,user67@example.com,password67,male,married,decreasing,below_10m,50m_to_70m,saver,"{""deposits"": [48, 32], ""savings"": []}"
user_68,User 68,user68@example.com,password68,female,married,stable_increase,10m_to_50m,100m_to_300m,saver,"{""deposits"": [], ""savings"": [171, 190]}"
user_69,User 69,user69@example.com,password69,female,single,stable_increase,100m_to_500m,above_300m,saver,"{""deposits"": [], ""savings"": [106]}"
user_70,User 70,user70@example.com,password70,female,single,unstable,above_1b,below_30m,investor,"{""deposits"": [83, 27], ""savings"": [176, 106, 160, 167]}"
user_71,User 71,user71@example.com,password71,male,single,stable_increase,10m_to_50m,30m_to_50m,saver,"{""deposits"": [38, 94, 16, 7], ""savings"": []}"
user_72,User 72,user72@example.com,password72,female,married,stable_increase,50m_to_100m,70m_to_100m,investor,"{""deposits"": [83, 49, 86, 68], ""savings"": [108, 121]}"
user_73,User 73,user73@example.com,password73,male,single,decreasing,100m_to_500m,below_30m,spender,"{""deposits"": [94, 57, 52], ""savings"": [130, 169, 186, 117]}"
user_74,User 74,user74@example.com,password74,female,married,decreasing,above_1b,above_300m,planner,"{""deposits"": [50, 71], ""savings"": [151, 184, 126, 196]}"
user_75,User 75,user75@example.com,password75,male,single,unstable,above_1b,30m_to_50m,planner,"{""deposits"": [], ""savings"": [187, 130, 139]}"
user_76,User 76,user76@example.com,password76,female,married,decreasing,500m_to_1b,70m_to_100m,planner,"{""deposits"": [], ""savings"": [162]}"
user_77,User 77,user77@example.com,password77,male,married,decreasing,10m_to_50m,100m_to_300m,saver,"{""deposits"": [56, 65], ""savings"": [106, 181, 130, 163]}"
user_78,User 78,user78@example.com,password78,male,single,decreasing,50m_to_100m,100m_to_300m,investor,"{""deposits"": [48, 45], ""savings"": [149]}"
user_79,User 79,user79@example.com,password79,male,single,decreasing,500m_to_1b,70m_to_100m,planner,"{""deposits"": [8], ""savings"": [156, 195, 133, 134]}"
user_80,User 80,user80@example.com,password80,female,married,decreasing,100m_to_500m,50m_to_70m,saver,"{""deposits"": [10], ""savings"": [184, 155, 137, 136]}"
user_81,User 81,user81@example.com,password81,male,single,stable_increase,below_10m,above_300m,investor,"{""deposits"": [], ""savings"": [115, 188, 153, 200]}"
user_82,User 82,user82@example.com,password82,male,single,decreasing,below_10m,50m_to_70m,saver,"{""deposits"": [], ""savings"": []}"
user_83,User 83,user83@example.com,password83,male,single,decreasing,50m_to_100m,below_30m,planner,"{""deposits"": [14, 77], ""savings"": [101, 150]}"
user_84,User 84,user84@example.com,password84,female,married,unstable,500m_to_1b,30m_to_50m,planner,"{""deposits"": [26, 57], ""savings"": [190, 169, 109]}"
user_85,User 85,user85@example.com,password85,female,married,unstable,10m_to_50m,100m_to_300m,spender,"{""deposits"": [24, 35], ""savings"": [108, 111, 179, 144]}"
user_86,User 86,user86@example.com,password86,female,single,decreasing,below_10m,30m_to_50m,planner,"{""deposits"": [89, 12], ""savings"": []}"
user_87,User 87,user87@example.com,password87,male,married,decreasing,500m_to_1b,above_300m,saver,"{""deposits"": [97, 27, 57, 45], ""savings"": [161, 132, 190]}"
user_88,User 88,user88@example.com,password88,male,single,stable_increase,100m_to_500m,30m_to_50m,investor,"{""deposits"": [30, 21, 11], ""savings"": [135, 154, 194, 117]}"
user_89,User 89,user89@example.com,password89,male,single,stable_increase,below_10m,70m_to_100m,investor,"{""deposits"": [50, 100, 61], ""savings"": [161, 146, 187]}"
user_90,User 90,user90@example.com,password90,female,married,decreasing,10m_to_50m,50m_to_70m,spender,"{""deposits"": [98, 10, 96], ""savings"": [171, 129, 146]}"
user_91,User 91,user91@example.com,password91,male,single,stable_increase,100m_to_500m,100m_to_300m,investor,"{""deposits"": [], ""savings"": [102, 190, 116]}"
user_92,User 92,user92@example.com,password92,male,married,unstable,50m_to_100m,70m_to_100m,investor,"{""deposits"": [3, 87], ""savings"": []}"
user_93,User 93,user93@example.com,password93,female,single,decreasing,below_10m,above_300m,investor,"{""deposits"": [85], ""savings"": [111, 199]}"
user_94,User 94,user94@example.com,password94,male,single,decreasing,10m_to_50m,below_30m,planner,"{""deposits"": [57, 54], ""savings"": []}"
user_95,User 95,user95@example.com,password95,female,single,stable_increase,50m_to_100m,above_300m,planner,"{""deposits"": [91, 97], ""savings"": [181, 113, 200]}"
user_96,User 96,user96@example.com,password96,male,single,stable_increase,100m_to_500m,50m_to_70m,saver,"{""deposits"": [], ""savings"": [125]}"
user_97,User 97,user97@example.com,password97,female,single,unstable,10m_to_50m,above_300m,investor,"{""deposits"": [36], ""savings"": [177, 117]}"
user_98,User 98,user98@example.com,password98,female,single,stable_increase,10m_to_50m,50m_to_70m,planner,"{""deposits"": [48, 79], ""savings"": [126, 114, 164, 151]}"
user_99,User 99,user99@example.com,password99,male,married,decreasing,50m_to_100m,below_30m,spender,"{""deposits"": [91], ""savings"": [119, 166, 197, 114]}"
user_100,User 100,user100@example.com,password100,female,single,stable_increase,above_1b,30m_to_50m,spender,"{""deposits"": [79, 86, 42], ""savings"": [198]}"
user_101,User 101,user101@example.com,password101,female,single,unstable,below_10m,100m_to_300m,spender,"{""deposits"": [42, 79, 70], ""savings"": [105]}"
user_102,User 102,user102@example.com,password102,female,married,unstable,50m_to_100m,70m_to_100m,investor,"{""deposits"": [80, 70, 21], ""savings"": []}"
user_103,User 103,user103@example.com,password103,male,married,decreasing,above_1b,50m_to_70m,saver,"{""deposits"": [28], ""savings"": [150, 143]}"
user_104,User 104,user104@example.com,password104,female,married,stable_increase,10m_to_50m,above_300m,saver,"{""deposits"": [47], ""savings"": [182, 103, 130, 194]}"
user_105,User 105,user105@example.com,password105,female,married,stable_increase,10m_to_50m,30m_to_50m,saver,"{""deposits"": [27, 73], ""savings"": [197, 177]}"
user_106,User 106,user106@example.com,password106,female,single,decreasing,100m_to_500m,above_300m,investor,"{""deposits"": [3, 56, 19], ""savings"": [155]}"
user_107,User 107,user107@example.com,password107,female,single,unstable,500m_to_1b,50m_to_70m,planner,"{""deposits"": [94, 97, 45], ""savings"": []}"
user_108,User 108,user108@example.com,password108,male,married,stable_increase,50m_to_100m,70m_to_100m,planner,"{""deposits"": [54, 3, 13, 2], ""savings"": []}"
user_109,User 109,user109@example.com,password109,male,single,unstable,50m_to_100m,below_30m,saver,"{""deposits"": [90, 45], ""savings"": [140, 114, 197]}"
user_110,User 110,user110@example.com,password110,male,married,decreasing,100m_to_500m,below_30m,planner,"{""deposits"": [55, 8, 19, 71], ""savings"": [174]}"
user_111,User 111,user111@example.com,password111,male,married,stable_increase,below_10m,30m_to_50m,planner,"{""deposits"": [50], ""savings"": [123, 181, 168]}"
user_112,User 112,user112@example.com,password112,female,married,unstable,50m_to_100m,30m_to_50m,investor,"{""deposits"": [89, 96, 37, 31], ""savings"": [150, 167]}"
user_113,User 113,user113@example.com,password113,male,married,decreasing,below_10m,70m_to_100m,spender,"{""deposits"": [43, 22, 78], ""savings"": [175]}"
user_114,User 114,user114@example.com,password114,female,married,decreasing,500m_to_1b,100m_to_300m,spender,"{""deposits"": [29], ""savings"": [131, 111, 114, 147]}"
user_115,User 115,user115@example.com,password115,male,single,stable_increase,100m_to_500m,30m_to_50m,spender,"{""deposits"": [64], ""savings"": [156, 115, 123, 111]}"
user_116,User 116,user116@example.com,password116,female,married,decreasing,500m_to_1b,above_300m,saver,"{""deposits"": [83, 97, 98, 66], ""savings"": [120, 142, 114]}"
user_117,User 117,user117@example.com,password117,female,single,decreasing,below_10m,100m_to_300m,spender,"{""deposits"": [90, 20], ""savings"": [155, 130, 153, 148]}"
user_118,User 118,user118@example.com,password118,female,married,unstable,500m_to_1b,100m_to_300m,spender,"{""deposits"": [72, 52, 91], ""savings"": [178, 181, 139]}"
user_119,User 119,user119@example.com,password119,female,single,decreasing,below_10m,100m_to_300m,investor,"{""deposits"": [27, 43, 66, 2], ""savings"": []}"
user_120,User 120,user120@example.com,password120,female,married,stable_increase,50m_to_100m,70m_to_100m,spender,"{""deposits"": [54, 46], ""savings"": [122, 167, 142]}"
user_121,User 121,user121@example.com,password121,female,married,stable_increase,500m_to_1b,100m_to_300m,saver,"{""deposits"": [20, 39, 30, 57], ""savings"": [118, 155, 157, 127]}"
user_122,User 122,user122@example.com,password122,male,single,unstable,10m_to_50m,below_30m,saver,"{""deposits"": [], ""savings"": [157]}"
user_123,User 123,user123@example.com,password123,female,single,decreasing,50m_to_100m,below_30m,investor,"{""deposits"": [29, 86, 14, 69], ""savings"": [121]}"
user_124,User 124,user124@example.com,password124,male,single,decreasing,above_1b,above_300m,planner,"{""deposits"": [65, 81, 66, 39], ""savings"": [132, 129, 141]}"
user_125,User 125,user125@example.com,password125,female,single,stable_increase,50m_to_100m,above_300m,spender,"{""deposits"": [], ""savings"": [173]}"
user_126,User 126,user126@example.com,password126,male,single,unstable,10m_to_50m,100m_to_300m,investor,"{""deposits"": [20], ""savings"": [152, 137, 148]}"
user_127,User 127,user127@example.com,password127,male,married,unstable,500m_to_1b,above_300m,investor,"{""deposits"": [52, 5, 7], ""savings"": [139, 180, 120, 141]}"
user_128,User 128,user128@example.com,password128,male,single,unstable,100m_to_500m,50m_to_70m,saver,"{""deposits"": [94, 77, 53, 27], ""savings"": [128, 197]}"
user_129,User 129,user129@example.com,password129,female,single,unstable,500m_to_1b,30m_to_50m,spender,"{""deposits"": [41, 88, 77, 32], ""savings"": []}"
user_130,User 130,user130@example.com,password130,female,single,stable_increase,above_1b,100m_to_300m,spender,"{""deposits"": [], ""savings"": [183, 197]}"
user_131,User 131,user131@example.com,password131,male,married,unstable,below_10m,below_30m,planner,"{""deposits"": [19, 2, 58], ""savings"": [129, 119]}"
user_132,User 132,user132@example.com,password132,male,married,decreasing,100m_to_500m,below_30m,saver,"{""deposits"": [51, 1, 48, 66], ""savings"": []}"
user_133,User 133,user133@example.com,password133,male,married,stable_increase,500m_to_1b,70m_to_100m,planner,"{""deposits"": [86, 37, 34], ""savings"": [148]}"
user_134,User 134,user134@example.com,password134,female,single,unstable,10m_to_50m,70m_to_100m,spender,"{""deposits"": [49, 73], ""savings"": [122, 120, 111]}"
user_135,User 135,user135@example.com,password135,male,married,decreasing,above_1b,above_300m,saver,"{""deposits"": [100, 59], ""savings"": [113, 153, 161, 151]}"
user_136,User 136,user136@example.com,password136,male,single,unstable,below_10m,100m_to_300m,spender,"{""deposits"": [35, 5], ""savings"": [179, 186]}"
user_137,User 137,user137@example.com,password137,female,married,stable_increase,100m_to_500m,30m_to_50m,saver,"{""deposits"": [42, 38, 84], ""savings"": [162, 109, 158, 180]}"
user_138,User 138,user138@example.com,password138,male,single,unstable,below_10m,30m_to_50m,planner,"{""deposits"": [88, 47], ""savings"": [152, 134, 181]}"
user_139,User 139,user139@example.com,password139,female,single,decreasing,100m_to_500m,30m_to_50m,planner,"{""deposits"": [], ""savings"": [111, 117, 149, 150]}"
user_140,User 140,user140@example.com,password140,male,single,stable_increase,500m_to_1b,above_300m,planner,"{""deposits"": [81, 91], ""savings"": [136, 170, 162]}"
user_141,User 141,user141@example.com,password141,female,single,unstable,100m_to_500m,70m_to_100m,investor,"{""deposits"": [15, 83, 8], ""savings"": [157]}"
user_142,User 142,user142@example.com,password142,female,married,stable_increase,above_1b,above_300m,investor,"{""deposits"": [28], ""savings"": [131]}"
user_143,User 143,user143@example.com,password143,male,single,decreasing,above_1b,50m_to_70m,spender,"{""deposits"": [25, 83, 78, 92], ""savings"": [104, 111]}"
user_144,User 144,user144@example.com,password144,female,single,unstable,10m_to_50m,100m_to_300m,planner,"{""deposits"": [70, 21, 76], ""savings"": [112, 137]}"
user_145,User 145,user145@example.com,password145,male,single,stable_increase,100m_to_500m,above_300m,investor,"{""deposits"": [3, 37, 68, 27], ""savings"": [136, 153]}"
user_146,User 146,user146@example.com,password146,male,married,unstable,above_1b,100m_to_300m,spender,"{""deposits"": [65, 7, 73, 83], ""savings"": [130, 188]}"
user_147,User 147,user147@example.com,password147,male,married,unstable,500m_to_1b,70m_to_100m,investor,"{""deposits"": [], ""savings"": [129]}"
user_148,User 148,user148@example.com,password148,male,single,stable_increase,below_10m,100m_to_300m,investor,"{""deposits"": [79, 9], ""savings"": [127, 182]}"
user_149,User 149,user149@example.com,password149,male,married,stable_increase,10m_to_50m,above_300m,spender,"{""deposits"": [66, 93], ""savings"": [143, 137, 127, 176]}"
user_150,User 150,user150@example.com,password150,female,single,unstable,50m_to_100m,below_30m,investor,"{""deposits"": [9, 60], ""savings"": []}"
user_151,User 151,user151@example.com,password151,male,married,stable_increase,500m_to_1b,100m_to_300m,saver,"{""deposits"": [41, 97, 52, 4], ""savings"": [118, 139, 104, 160]}"
user_152,User 152,user152@example.com,password152,male,single,decreasing,100m_to_500m,70m_to_100m,investor,"{""deposits"": [32, 41, 45, 19], ""savings"": [167, 138, 150]}"
user_153,User 153,user153@example.com,password153,male,married,decreasing,10m_to_50m,50m_to_70m,spender,"{""deposits"": [], ""savings"": [178, 163, 146, 111]}"
user_154,User 154,user154@example.com,password154,female,single,decreasing,above_1b,70m_to_100m,spender,"{""deposits"": [5, 19], ""savings"": []}"
user_155,User 155,user155@example.com,password155,male,married,stable_increase,100m_to_500m,50m_to_70m,investor,"{""deposits"": [30, 37, 16, 21], ""savings"": [147]}"
user_156,User 156,user156@example.com,password156,male,married,stable_increase,above_1b,50m_to_70m,planner,"{""deposits"": [54, 84, 22], ""savings"": [165, 158]}"
user_157,User 157,user157@example.com,password157,female,single,unstable,500m_to_1b,above_300m,planner,"{""deposits"": [35, 42], ""savings"": []}"
user_158,User 158,user158@example.com,password158,female,single,decreasing,100m_to_500m,100m_to_300m,spender,"{""deposits"": [95, 7, 44, 15], ""savings"": [120]}"
user_159,User 159,user159@example.com,password159,female,single,stable_increase,10m_to_50m,below_30m,investor,"{""deposits"": [67, 31, 53], ""savings"": [108, 150]}"
user_160,User 160,user160@example.com,password160,female,married,stable_increase,below_10m,below_30m,saver,"{""deposits"": [], ""savings"": [192, 199, 133, 193]}"
user_161,User 161,user161@example.com,password161,male,married,unstable,below_10m,below_30m,investor,"{""deposits"": [61], ""savings"": []}"
user_162,User 162,user162@example.com,password162,male,single,decreasing,above_1b,50m_to_70m,saver,"{""deposits"": [26, 39, 35, 14], ""savings"": [169]}"
user_163,User 163,user163@example.com,password163,female,single,unstable,below_10m,50m_to_70m,saver,"{""deposits"": [53, 44, 13], ""savings"": [165, 171, 139, 125]}"
user_164,User 164,user164@example.com,password164,female,married,stable_increase,above_1b,70m_to_100m,investor,"{""deposits"": [63, 59, 83], ""savings"": [191]}"
user_165,User 165,user165@example.com,password165,male,single,decreasing,100m_to_500m,above_300m,spender,"{""deposits"": [60], ""savings"": [160]}"
user_166,User 166,user166@example.com,password166,female,single,unstable,below_10m,above_300m,saver,"{""deposits"": [52], ""savings"": []}"
user_167,User 167,user167@example.com,password167,female,single,stable_increase,500m_to_1b,100m_to_300m,saver,"{""deposits"": [12], ""savings"": [101, 132, 162]}"
user_168,User 168,user168@example.com,password168,male,married,unstable,500m_to_1b,below_30m,planner,"{""deposits"": [11, 65, 55], ""savings"": []}"
user_169,User 169,user169@example.com,password169,male,married,decreasing,below_10m,50m_to_70m,saver,"{""deposits"": [97], ""savings"": [192]}"
user_170,User 170,user170@example.com,password170,female,single,decreasing,10m_to_50m,50m_to_70m,spender,"{""deposits"": [74, 2, 33, 39], ""savings"": [177, 112, 161, 168]}"
user_171,User 171,user171@example.com,password171,female,married,unstable,500m_to_1b,above_300m,spender,"{""deposits"": [88, 89, 71, 77], ""savings"": [176, 145]}"
user_172,User 172,user172@example.com,password172,male,married,decreasing,above_1b,100m_to_300m,spender,"{""deposits"": [], ""savings"": [108, 127]}"
user_173,User 173,user173@example.com,password173,male,single,decreasing,100m_to_500m,70m_to_100m,spender,"{""deposits"": [41, 57, 31], ""savings"": [170]}"
user_174,User 174,user174@example.com,password174,male,married,unstable,500m_to_1b,100m_to_300m,spender,"{""deposits"": [83], ""savings"": [173, 167, 168, 102]}"
user_175,User 175,user175@example.com,password175,female,single,decreasing,50m_to_100m,70m_to_100m,spender,"{""deposits"": [7], ""savings"": [175, 104]}"
user_176,User 176,user176@example.com,password176,female,single,decreasing,100m_to_500m,100m_to_300m,planner,"{""deposits"": [5, 29, 98], ""savings"": [143, 194, 147, 104]}"
user_177,User 177,user177@example.com,password177,male,married,unstable,100m_to_500m,30m_to_50m,spender,"{""deposits"": [78, 58], ""savings"": []}"
user_178,User 178,user178@example.com,password178,male,married,unstable,50m_to_100m,70m_to_100m,planner,"{""deposits"": [85, 38, 61, 20], ""savings"": [169, 129, 106, 176]}"
user_179,User 179,user179@example.com,password179,male,single,unstable,10m_to_50m,70m_to_100m,saver,"{""deposits"": [32], ""savings"": [151]}"
user_180,User 180,user180@example.com,password180,female,married,stable_increase,500m_to_1b,below_30m,saver,"{""deposits"": [45], ""savings"": [154]}"
user_181,User 181,user181@example.com,password181,male,married,unstable,10m_to_50m,70m_to_100m,saver,"{""deposits"": [10], ""savings"": []}"
user_182,User 182,user182@example.com,password182,male,married,decreasing,10m_to_50m,100m_to_300m,spender,"{""deposits"": [33, 60], ""savings"": [115, 168]}"
user_183,User 183,user183@example.com,password183,female,single,stable_increase,below_10m,30m_to_50m,spender,"{""deposits"": [56, 97, 90], ""savings"": [173, 111, 109, 180]}"
user_184,User 184,user184@example.com,password184,female,married,unstable,10m_to_50m,70m_to_100m,planner,"{""deposits"": [8, 39, 16, 23], ""savings"": []}"
user_185,User 185,user185@example.com,password185,female,married,decreasing,below_10m,50m_to_70m,investor,"{""deposits"": [], ""savings"": []}"
user_186,User 186,user186@example.com,password186,female,married,stable_increase,50m_to_100m,below_30m,planner,"{""deposits"": [63, 95], ""savings"": [158, 174, 148]}"
user_187,User 187,user187@example.com,password187,female,married,decreasing,above_1b,100m_to_300m,saver,"{""deposits"": [31, 53, 20], ""savings"": []}"
